name	treasure class # This is a custom .txt file, so should remain outside the versioned folders. Some item names have different names for the same code, such as hbt -> greaves/plate boots, while some are typoed, such as Espadon
Espadon	39
Double Bow	39
Dimensional Blade	39
Demonhide Armor	39
Crystalline Globe	39
Cedar Staff	39
Bill	39
Bearded Axe	39
Ashwood Bow	39
War Fork	42
Trellised Armor	42
Tresllised Armor	42
Tabar	42
Simbilan	42
Siege Crossbow	42
Scutum	42
Linked Mail	42
Hurlbat	42
Holy Water Sprinkler	42
Hand Scythe	42
Griffon Headress	42
Gothic Staff	42
Dacian Falx	42
Cloudy Sphere	42
Cinquedeas	42
Casque	42
Battle Sword	42
Battle Scythe	42
Barbed Shield	42
Ancient Armor	42
AncientArmor	42
Akaran Rondache	42
Yari	45
War Club	45
Tusk Sword	45
Tomb Wand	45
Tigulated Mail	45
Short Siege Bow	45
Sexton Trophy	45
Rune Sword	45
Rage Mask	45
Mesh Boots	45
Mesh Belt	45
Mesh Armor	45
Knout	45
Heavy Bracers	45
Greater Claws	45
Dragon Shield	45
Divine Scepter	45
Cutlass	45
Crowbill	45
Ceremonial Spear	45
Basinet	45
Stilleto	48
Sparking Ball	48
Rune Staff	48
Protector Shield	48
Naga	48
Large Siege Bow	48
Long Siege Bow	48
Lance	48
Hunter's Guise	48
Grim Shield	48
Gothic Sword	48
Gothic Axe	48
Death Mask	48
Cuirass	48
Ceremonial Bow	48
Battle Hammer	48
Ballista	48
Balista	48
Zweihander	51
Winged Helm	51
Swirling Crystal	51
Savage Helmet	51
Sacred Feathers	51
Russet Armor	51
Rune Bow	51
Pavise	51
Harpoon	51
Gilded Shield	51
Grim Helm	51
Greater Talons	51
Grave Wand	51
Ceremonial Pike	51
Cantor Trophy	51
Bec-de-Corbin	51
Battle Gauntlets	51
Battle Guantlets	51
Battle Belt	51
Battle Boots	51
Ancient Sword	51
Ancient Axe	51
War Gauntlets	54
War Boots	54
War Belt	54
Truncheon	54
Tomahawk	54
Templar Coat	54
Slayer Guard	54
Scissors Quhab	54
Matriarchal Bow	54
Martel de Fer	54
Hyperion Javelin	54
Hierophant Trophy	54
Heirophant Trophy	54
Gothic Bow	54
Giant Conch	54
Executioner Sword	54
Coronet	54
Chu-Ko-Nu	54
Tyrant Club	57
Totemic Mask	57
Spider Bow	57
Sharktooth Armor	57
Royal Shield	57
Polished Wand	57
Pellet Bow	57
Grim Scythe	57
Grand Crown	57
Flying Axe	57
Feral Axe	57
Falcata	57
Bramble Mitts	57
Ancient Shield	57
Wyrmhide Boots	60
Walking Stick	60
Suwayyah	60
Shako	60
Ogre Axe	60
Minion Skull	60
Mage Plate	60
Legend Sword	60
Hyperion Spear	60
Heavenly Stone	60
Heater	60
Embossed Plate	60
Carnage Helm	60
Bone Knife	60
Blade Bow	60
Wrist Sword	63
Vampirebone Gloves	63
Stygian Pilum	63
Spiderweb Sash	63
Small Crescent	63
Shadow Bow	63
Sacred Targe	63
Reinforced Mace	63
Mighty Scepter	63
Matriarchal Spear	63
Luna	63
Hydraskull	63
Elegant Blade	63
Chaos Armor	63
Boneweave	63
Blood Spirit	63
Ataghan	63
Stygian Pike	66
Stalagmite	66
Silver-Edged Axe	66
Scarabshell Boots	66
Overseer Skull	66
Ornate Plate	66
Ornate Armor	66
Matriarchal Javelin	66
Hyperion	66
Highland Blade	66
Ghost Wand	66
Fury Visor	66
Flying Knife	66
Dusk Shroud	66
Colossus Voulge	66
Wyrmhide	69
War Fist	69
Vampirefang Belt	69
Vambraces	69
Sun Spirit	69
Scarab Husk	69
Ogre Maul	69
Hydra Edge	69
Hellspawn Skull	69
Great Bow	69
Gorgon Crossbow	69
Eldritch Orb	69
Blade Barrier	69
Armet	69
Wire Fleece	72
Tiara	72
thresher	72
Sacred Rondache	72
Monarch	72
Mithirl Point	72
Ettin Axe	72
Diamond Mail	72
Diamond Bow	72
Devil Star	72
Boneweave Boots	72
Balrog Spear	72
Balrog Blade	72
Phase Blade	75
Mithril Coil	75
Mancatcher	75
Loricated Mail	75
Lich Wand	75
Kurast Shield	75
Great Hauberk	75
Elder Staff	75
Destroyer Helm	75
Demonhead	75
Demon Heart	75
Decapitator	75
Colossus Crossbow	75
Battle Cestus	75
Winged Knife	78
Troll Nest	78
Seraph Rod	78
Scourge	78
Hellforge Plate	78
Grand Matron Bow	78
Feral Claws	78
Earth Spirit	78
Crusader Gauntlets	78
Crusader Bow	78
Conquest Sword	78
Champion Sword	78
Balrog Skin	78
Winged Axe	81
Ward Bow	81
War Spike	81
Succubus Skull	81
succubae skull	81
Spired Helm	81
Runic Talons	81
Mirrored Boots	81
Matriarchal Pike	81
Kraken Shell	81
Ghost Glaive	81
Cryptic Axe	81
conqueror crown	81
Colossus Sword	81
Aegis	81
Zakarum Shield	84
Ward	84
Vortex Orb	84
Troll Belt	84
Sky Spirit	84
Shillelagh	84
Shadow Plate	84
Legendary Mallet	84
Lacquered Plate	84
Great Poleaxe	84
Ghost Spear	84
Fanged Knife	84
Demon Crossbow	84
Cryptic Sword	84
Champion Axe	84
Bone Visage	84
Archon Plate	84
Winged Harpoon	87
War Pike	87
Vortex Shield	87
Unearthed Wand	87
Thunder Maul	87
Scissors Suwayyah	87
Sacred Armor	87
Ogre Gauntlets	87
Mythical Sword	87
myrmidon greaves	87
Legend Spike	87
Hydra Bow	87
Guardian Crown	87
Glorious Axe	87
Giant Thresher	87
Dream Spirit	87
Dimensional Shard	87
Diadem	87
Corona	87
Colossus Girdle	87
Colossus Blade	87
Caduceus	87
Bloodlord Skull	87
Berserker Axe	87
Archon Staff	87
